model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_777,adj,adv,5,0.001,68,0.532608695652174,0.5274725274725275
smolm-autoreg-bpe-seed_777,n,adv,3,0.01,7,0.8152173913043478,0.7582417582417582
smolm-autoreg-bpe-seed_777,adj,adv,2,0.01,2,0.5434782608695652,0.5494505494505495
smolm-autoreg-bpe-seed_777,adj,adv,4,0.01,16,0.5434782608695652,0.5164835164835165
smolm-autoreg-bpe-seed_777,adj,v,5,0.01,7,0.9,0.89
smolm-autoreg-bpe-seed_777,n,v,1,0.01,9,0.89,0.88
smolm-autoreg-bpe-seed_777,adj,adv,3,0.01,15,0.5652173913043478,0.5164835164835165
smolm-autoreg-bpe-seed_777,adv,v,2,0.01,1,0.8586956521739131,0.7582417582417582
smolm-autoreg-bpe-seed_777,n,adj,4,0.001,65,0.83,0.77
smolm-autoreg-bpe-seed_777,adv,v,3,0.001,53,0.8478260869565217,0.8461538461538461
smolm-autoreg-bpe-seed_777,n,v,3,0.01,10,0.9,0.88
smolm-autoreg-bpe-seed_777,n,adj,5,0.001,68,0.84,0.75
smolm-autoreg-bpe-seed_777,n,adv,4,0.01,7,0.7934782608695652,0.7802197802197802
smolm-autoreg-bpe-seed_777,adv,v,1,0.001,55,0.8478260869565217,0.8681318681318682
smolm-autoreg-bpe-seed_777,adj,v,1,0.01,9,0.92,0.91
smolm-autoreg-bpe-seed_777,n,v,2,0.01,7,0.88,0.89
smolm-autoreg-bpe-seed_777,n,v,5,0.01,9,0.9,0.91
smolm-autoreg-bpe-seed_777,n,adj,3,0.001,68,0.83,0.76
smolm-autoreg-bpe-seed_777,adj,v,4,0.01,8,0.89,0.87
smolm-autoreg-bpe-seed_777,adv,v,4,0.001,50,0.8369565217391305,0.8571428571428571
smolm-autoreg-bpe-seed_777,n,adj,1,0.001,61,0.82,0.76
smolm-autoreg-bpe-seed_777,n,adj,2,0.001,1,0.82,0.73
smolm-autoreg-bpe-seed_777,n,v,4,0.01,8,0.89,0.92
smolm-autoreg-bpe-seed_777,adj,adv,1,0.001,0,0.5434782608695652,0.5274725274725275
smolm-autoreg-bpe-seed_777,adv,v,5,0.001,54,0.8478260869565217,0.8571428571428571
smolm-autoreg-bpe-seed_777,n,adv,2,0.01,2,0.8478260869565217,0.7692307692307693
smolm-autoreg-bpe-seed_777,n,adv,5,0.01,7,0.8152173913043478,0.7252747252747253
smolm-autoreg-bpe-seed_777,adj,v,2,0.01,8,0.9,0.88
smolm-autoreg-bpe-seed_777,adj,v,3,0.01,10,0.93,0.87
smolm-autoreg-bpe-seed_777,n,adv,1,0.001,21,0.7934782608695652,0.6813186813186813
