model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_888,adj,adv,5,0.01,4,0.6521739130434783,0.5494505494505495
smolm-autoreg-bpe-seed_888,n,adv,3,0.01,3,0.8478260869565217,0.7692307692307693
smolm-autoreg-bpe-seed_888,adj,adv,2,0.001,29,0.6739130434782609,0.5494505494505495
smolm-autoreg-bpe-seed_888,adj,adv,4,0.001,44,0.6521739130434783,0.5274725274725275
smolm-autoreg-bpe-seed_888,adj,v,5,0.01,11,0.82,0.88
smolm-autoreg-bpe-seed_888,n,v,1,0.01,11,0.9,0.9
smolm-autoreg-bpe-seed_888,adj,adv,3,0.001,21,0.6630434782608695,0.5494505494505495
smolm-autoreg-bpe-seed_888,adv,v,2,0.01,2,0.8152173913043478,0.7472527472527473
smolm-autoreg-bpe-seed_888,n,adj,4,0.001,13,0.83,0.76
smolm-autoreg-bpe-seed_888,adv,v,3,0.01,2,0.8043478260869565,0.7582417582417582
smolm-autoreg-bpe-seed_888,n,v,3,0.01,10,0.89,0.91
smolm-autoreg-bpe-seed_888,n,adj,5,0.01,0,0.86,0.74
smolm-autoreg-bpe-seed_888,n,adv,4,0.001,0,0.7934782608695652,0.7252747252747253
smolm-autoreg-bpe-seed_888,adv,v,1,0.01,4,0.8260869565217391,0.7032967032967034
smolm-autoreg-bpe-seed_888,adj,v,1,0.01,17,0.89,0.88
smolm-autoreg-bpe-seed_888,n,v,2,0.001,19,0.91,0.85
smolm-autoreg-bpe-seed_888,n,v,5,0.001,18,0.9,0.85
smolm-autoreg-bpe-seed_888,n,adj,3,0.001,9,0.85,0.76
smolm-autoreg-bpe-seed_888,adj,v,4,0.01,11,0.88,0.91
smolm-autoreg-bpe-seed_888,adv,v,4,0.01,4,0.8478260869565217,0.7472527472527473
smolm-autoreg-bpe-seed_888,n,adj,1,0.001,11,0.84,0.76
smolm-autoreg-bpe-seed_888,n,adj,2,0.001,12,0.84,0.77
smolm-autoreg-bpe-seed_888,n,v,4,0.001,20,0.9,0.87
smolm-autoreg-bpe-seed_888,adj,adv,1,0.001,29,0.6630434782608695,0.5494505494505495
smolm-autoreg-bpe-seed_888,adv,v,5,0.01,4,0.8260869565217391,0.7582417582417582
smolm-autoreg-bpe-seed_888,n,adv,2,0.001,8,0.8260869565217391,0.7362637362637363
smolm-autoreg-bpe-seed_888,n,adv,5,0.01,3,0.8695652173913043,0.8021978021978022
smolm-autoreg-bpe-seed_888,adj,v,2,0.01,10,0.86,0.87
smolm-autoreg-bpe-seed_888,adj,v,3,0.01,10,0.88,0.87
smolm-autoreg-bpe-seed_888,n,adv,1,0.01,3,0.7934782608695652,0.7802197802197802
