dirkey,word,cat,rep_type,start,end,projection_movement
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.32211193562070706,0.11339019320515265,0.21109309544967825
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,pca,0.0988151330493753,0.18033316218236276,-0.07749811327585492
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.46751946210861206,0.6853257417678833,0.19698195159435272
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,emb,0.3900928497314453,0.6224921941757202,-0.07486288249492645
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,pca,0.4218053829783357,0.21025223829206158,0.21341882466806456
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,pca,0.10279646927200116,0.09751027405863141,-0.023658679091144164
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,emb,0.5311427116394043,0.5449539422988892,0.2137463241815567
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,emb,0.3900928497314453,0.5561957359313965,-0.025418490171432495
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_2,[unused_1],adjective,pca,0.32211193562070706,0.18485431835974883,0.12295493139226538
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_2,[unused_2],adverb,pca,0.0988151330493753,0.14706283022599534,-0.02071097084527712
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_2,[unused_1],adjective,emb,0.46751946210861206,0.4840377867221832,0.11548104882240295
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_2,[unused_2],adverb,emb,0.3900928497314453,0.43451127409935,-0.017535880208015442
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_1],adjective,pca,0.32211193562070706,0.13239783002798083,0.19095889498186247
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_2],adverb,pca,0.0988151330493753,0.16148423783230853,-0.06230889071539497
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_1],adjective,emb,0.46751946210861206,0.6085299849510193,0.17956329882144928
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_2],adverb,emb,0.3900928497314453,0.5537132024765015,-0.061047784984111786
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.2659111212083331,0.16510520156907227,0.34243295545415087
checkpoints/smolm-autoreg-bpe-seed_888/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,pca,0.37172560389065135,0.08781154096222106,0.4175690883695108
