model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_444,adj,adv,5,0.01,4,0.6521739130434783,0.5604395604395604
smolm-autoreg-bpe-seed_444,n,adv,3,0.01,5,0.8152173913043478,0.7362637362637363
smolm-autoreg-bpe-seed_444,adj,adv,2,0.01,19,0.6413043478260869,0.5604395604395604
smolm-autoreg-bpe-seed_444,adj,adv,4,0.001,62,0.6413043478260869,0.5604395604395604
smolm-autoreg-bpe-seed_444,adj,v,5,0.01,6,0.91,0.92
smolm-autoreg-bpe-seed_444,n,v,1,0.01,7,0.92,0.88
smolm-autoreg-bpe-seed_444,adj,adv,3,0.01,29,0.6847826086956522,0.6263736263736264
smolm-autoreg-bpe-seed_444,adv,v,2,0.01,13,0.8152173913043478,0.8681318681318682
smolm-autoreg-bpe-seed_444,n,adj,4,0.01,0,0.79,0.78
smolm-autoreg-bpe-seed_444,adv,v,3,0.01,5,0.8152173913043478,0.7692307692307693
smolm-autoreg-bpe-seed_444,n,v,3,0.01,9,0.92,0.88
smolm-autoreg-bpe-seed_444,n,adj,5,0.001,3,0.78,0.76
smolm-autoreg-bpe-seed_444,n,adv,4,0.01,7,0.8043478260869565,0.7252747252747253
smolm-autoreg-bpe-seed_444,adv,v,1,0.01,15,0.8478260869565217,0.8571428571428571
smolm-autoreg-bpe-seed_444,adj,v,1,0.01,7,0.92,0.87
smolm-autoreg-bpe-seed_444,n,v,2,0.01,9,0.91,0.88
smolm-autoreg-bpe-seed_444,n,v,5,0.01,7,0.91,0.85
smolm-autoreg-bpe-seed_444,n,adj,3,0.001,2,0.84,0.81
smolm-autoreg-bpe-seed_444,adj,v,4,0.01,8,0.91,0.92
smolm-autoreg-bpe-seed_444,adv,v,4,0.01,8,0.8478260869565217,0.8131868131868132
smolm-autoreg-bpe-seed_444,n,adj,1,0.001,4,0.79,0.77
smolm-autoreg-bpe-seed_444,n,adj,2,0.001,0,0.83,0.8
smolm-autoreg-bpe-seed_444,n,v,4,0.01,9,0.91,0.89
smolm-autoreg-bpe-seed_444,adj,adv,1,0.001,54,0.6521739130434783,0.5824175824175825
smolm-autoreg-bpe-seed_444,adv,v,5,0.01,8,0.8369565217391305,0.8461538461538461
smolm-autoreg-bpe-seed_444,n,adv,2,0.01,6,0.8152173913043478,0.7362637362637363
smolm-autoreg-bpe-seed_444,n,adv,5,0.01,5,0.8043478260869565,0.7362637362637363
smolm-autoreg-bpe-seed_444,adj,v,2,0.01,7,0.91,0.92
smolm-autoreg-bpe-seed_444,adj,v,3,0.01,7,0.93,0.9
smolm-autoreg-bpe-seed_444,n,adv,1,0.01,4,0.8478260869565217,0.7472527472527473
smolm-autoreg-bpe-seed_555,adj,adv,5,0.01,20,0.6086956521739131,0.5604395604395604
smolm-autoreg-bpe-seed_555,n,adv,3,0.01,2,0.8369565217391305,0.8681318681318682
smolm-autoreg-bpe-seed_555,adj,adv,2,0.01,47,0.6304347826086957,0.5934065934065934
smolm-autoreg-bpe-seed_555,adj,adv,4,0.01,21,0.6304347826086957,0.5494505494505495
smolm-autoreg-bpe-seed_555,adj,v,5,0.01,10,0.9,0.9
smolm-autoreg-bpe-seed_555,n,v,1,0.01,16,0.94,0.88
smolm-autoreg-bpe-seed_555,adj,adv,3,0.01,22,0.6086956521739131,0.5934065934065934
smolm-autoreg-bpe-seed_555,adv,v,2,0.01,1,0.8369565217391305,0.7912087912087912
smolm-autoreg-bpe-seed_555,n,adj,4,0.01,6,0.8,0.75
smolm-autoreg-bpe-seed_555,adv,v,3,0.01,1,0.8478260869565217,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,v,3,0.01,43,0.92,0.85
smolm-autoreg-bpe-seed_555,n,adj,5,0.001,0,0.77,0.82
smolm-autoreg-bpe-seed_555,n,adv,4,0.01,4,0.8478260869565217,0.8571428571428571
smolm-autoreg-bpe-seed_555,adv,v,1,0.01,4,0.8695652173913043,0.8461538461538461
smolm-autoreg-bpe-seed_555,adj,v,1,0.01,11,0.88,0.9
smolm-autoreg-bpe-seed_555,n,v,2,0.01,37,0.93,0.86
smolm-autoreg-bpe-seed_555,n,v,5,0.01,15,0.92,0.84
smolm-autoreg-bpe-seed_555,n,adj,3,0.01,11,0.78,0.75
smolm-autoreg-bpe-seed_555,adj,v,4,0.01,33,0.89,0.83
smolm-autoreg-bpe-seed_555,adv,v,4,0.01,11,0.8369565217391305,0.8571428571428571
smolm-autoreg-bpe-seed_555,n,adj,1,0.01,11,0.75,0.71
smolm-autoreg-bpe-seed_555,n,adj,2,0.01,0,0.86,0.82
smolm-autoreg-bpe-seed_555,n,v,4,0.01,14,0.94,0.9
smolm-autoreg-bpe-seed_555,adj,adv,1,0.01,23,0.6413043478260869,0.5824175824175825
smolm-autoreg-bpe-seed_555,adv,v,5,0.01,5,0.8695652173913043,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,adv,2,0.001,69,0.8586956521739131,0.8351648351648352
smolm-autoreg-bpe-seed_555,n,adv,5,0.01,2,0.8043478260869565,0.8461538461538461
smolm-autoreg-bpe-seed_555,adj,v,2,0.01,11,0.88,0.81
smolm-autoreg-bpe-seed_555,adj,v,3,0.01,37,0.9,0.86
smolm-autoreg-bpe-seed_555,n,adv,1,0.001,69,0.8260869565217391,0.8351648351648352
smolm-autoreg-bpe-seed_999,adj,adv,5,0.001,30,0.5978260869565217,0.5274725274725275
smolm-autoreg-bpe-seed_999,n,adv,3,0.001,0,0.8804347826086957,0.8131868131868132
smolm-autoreg-bpe-seed_999,adj,adv,2,0.001,28,0.5978260869565217,0.4835164835164835
smolm-autoreg-bpe-seed_999,adj,adv,4,0.01,18,0.6195652173913043,0.5164835164835165
smolm-autoreg-bpe-seed_999,adj,v,5,0.01,49,0.92,0.88
smolm-autoreg-bpe-seed_999,n,v,1,0.01,12,0.92,0.8
smolm-autoreg-bpe-seed_999,adj,adv,3,0.001,29,0.5978260869565217,0.4725274725274725
smolm-autoreg-bpe-seed_999,adv,v,2,0.001,14,0.8260869565217391,0.7472527472527473
smolm-autoreg-bpe-seed_999,n,adj,4,0.001,23,0.79,0.73
smolm-autoreg-bpe-seed_999,adv,v,3,0.01,4,0.8478260869565217,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,v,3,0.01,9,0.96,0.92
smolm-autoreg-bpe-seed_999,n,adj,5,0.001,19,0.82,0.75
smolm-autoreg-bpe-seed_999,n,adv,4,0.001,2,0.8043478260869565,0.7802197802197802
smolm-autoreg-bpe-seed_999,adv,v,1,0.01,4,0.8152173913043478,0.7472527472527473
smolm-autoreg-bpe-seed_999,adj,v,1,0.01,14,0.92,0.88
smolm-autoreg-bpe-seed_999,n,v,2,0.01,11,0.94,0.87
smolm-autoreg-bpe-seed_999,n,v,5,0.001,54,0.91,0.85
smolm-autoreg-bpe-seed_999,n,adj,3,0.001,15,0.83,0.74
smolm-autoreg-bpe-seed_999,adj,v,4,0.01,13,0.92,0.88
smolm-autoreg-bpe-seed_999,adv,v,4,0.01,4,0.8260869565217391,0.7472527472527473
smolm-autoreg-bpe-seed_999,n,adj,1,0.001,15,0.81,0.79
smolm-autoreg-bpe-seed_999,n,adj,2,0.001,3,0.83,0.77
smolm-autoreg-bpe-seed_999,n,v,4,0.01,12,0.95,0.88
smolm-autoreg-bpe-seed_999,adj,adv,1,0.01,3,0.6086956521739131,0.5384615384615384
smolm-autoreg-bpe-seed_999,adv,v,5,0.001,19,0.8152173913043478,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,adv,2,0.001,1,0.8152173913043478,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,adv,5,0.001,7,0.8152173913043478,0.7582417582417582
smolm-autoreg-bpe-seed_999,adj,v,2,0.01,15,0.92,0.88
smolm-autoreg-bpe-seed_999,adj,v,3,0.01,13,0.92,0.9
smolm-autoreg-bpe-seed_999,n,adv,1,0.001,0,0.8369565217391305,0.8131868131868132
smolm-autoreg-bpe-seed_222,adj,adv,5,0.001,37,0.5760869565217391,0.46153846153846156
smolm-autoreg-bpe-seed_222,n,adv,3,0.01,2,0.7717391304347826,0.6373626373626373
smolm-autoreg-bpe-seed_222,adj,adv,2,0.01,28,0.5978260869565217,0.42857142857142855
smolm-autoreg-bpe-seed_222,adj,adv,4,0.001,51,0.5652173913043478,0.4725274725274725
smolm-autoreg-bpe-seed_222,adj,v,5,0.01,10,0.87,0.82
smolm-autoreg-bpe-seed_222,n,v,1,0.01,8,0.88,0.83
smolm-autoreg-bpe-seed_222,adj,adv,3,0.001,43,0.5652173913043478,0.43956043956043955
smolm-autoreg-bpe-seed_222,adv,v,2,0.001,59,0.8152173913043478,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adj,4,0.001,2,0.83,0.72
smolm-autoreg-bpe-seed_222,adv,v,3,0.001,62,0.8260869565217391,0.8571428571428571
smolm-autoreg-bpe-seed_222,n,v,3,0.01,5,0.89,0.84
smolm-autoreg-bpe-seed_222,n,adj,5,0.001,6,0.84,0.68
smolm-autoreg-bpe-seed_222,n,adv,4,0.01,0,0.8260869565217391,0.6373626373626373
smolm-autoreg-bpe-seed_222,adv,v,1,0.001,54,0.8152173913043478,0.8461538461538461
smolm-autoreg-bpe-seed_222,adj,v,1,0.01,11,0.87,0.85
smolm-autoreg-bpe-seed_222,n,v,2,0.01,6,0.91,0.85
smolm-autoreg-bpe-seed_222,n,v,5,0.01,9,0.91,0.87
smolm-autoreg-bpe-seed_222,n,adj,3,0.001,4,0.84,0.57
smolm-autoreg-bpe-seed_222,adj,v,4,0.01,12,0.9,0.83
smolm-autoreg-bpe-seed_222,adv,v,4,0.001,64,0.8152173913043478,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adj,1,0.001,10,0.84,0.73
smolm-autoreg-bpe-seed_222,n,adj,2,0.001,19,0.83,0.69
smolm-autoreg-bpe-seed_222,n,v,4,0.01,10,0.89,0.8
smolm-autoreg-bpe-seed_222,adj,adv,1,0.01,26,0.5760869565217391,0.43956043956043955
smolm-autoreg-bpe-seed_222,adv,v,5,0.001,68,0.7934782608695652,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adv,2,0.01,5,0.7608695652173914,0.6153846153846154
smolm-autoreg-bpe-seed_222,n,adv,5,0.01,36,0.7717391304347826,0.6263736263736264
smolm-autoreg-bpe-seed_222,adj,v,2,0.01,13,0.88,0.82
smolm-autoreg-bpe-seed_222,adj,v,3,0.01,8,0.89,0.83
smolm-autoreg-bpe-seed_222,n,adv,1,0.01,0,0.7717391304347826,0.6373626373626373
smolm-autoreg-bpe-seed_333,adj,adv,5,0.001,4,0.5869565217391305,0.5494505494505495
smolm-autoreg-bpe-seed_333,n,adv,3,0.01,1,0.7717391304347826,0.7582417582417582
smolm-autoreg-bpe-seed_333,adj,adv,2,0.001,7,0.5978260869565217,0.5494505494505495
smolm-autoreg-bpe-seed_333,adj,adv,4,0.01,3,0.6086956521739131,0.5054945054945055
smolm-autoreg-bpe-seed_333,adj,v,5,0.01,16,0.9,0.86
smolm-autoreg-bpe-seed_333,n,v,1,0.01,8,0.93,0.9
smolm-autoreg-bpe-seed_333,adj,adv,3,0.01,16,0.5978260869565217,0.4725274725274725
smolm-autoreg-bpe-seed_333,adv,v,2,0.01,3,0.8586956521739131,0.9010989010989011
smolm-autoreg-bpe-seed_333,n,adj,4,0.01,0,0.73,0.7
smolm-autoreg-bpe-seed_333,adv,v,3,0.01,34,0.8260869565217391,0.8681318681318682
smolm-autoreg-bpe-seed_333,n,v,3,0.01,7,0.91,0.88
smolm-autoreg-bpe-seed_333,n,adj,5,0.001,4,0.72,0.73
smolm-autoreg-bpe-seed_333,n,adv,4,0.01,3,0.7608695652173914,0.7912087912087912
smolm-autoreg-bpe-seed_333,adv,v,1,0.01,4,0.8586956521739131,0.8791208791208791
smolm-autoreg-bpe-seed_333,adj,v,1,0.01,14,0.9,0.86
smolm-autoreg-bpe-seed_333,n,v,2,0.01,7,0.93,0.86
smolm-autoreg-bpe-seed_333,n,v,5,0.01,10,0.92,0.86
smolm-autoreg-bpe-seed_333,n,adj,3,0.001,0,0.71,0.65
smolm-autoreg-bpe-seed_333,adj,v,4,0.01,14,0.91,0.85
smolm-autoreg-bpe-seed_333,adv,v,4,0.01,4,0.8478260869565217,0.8681318681318682
smolm-autoreg-bpe-seed_333,n,adj,1,0.001,0,0.73,0.76
smolm-autoreg-bpe-seed_333,n,adj,2,0.001,0,0.75,0.68
smolm-autoreg-bpe-seed_333,n,v,4,0.01,9,0.92,0.88
smolm-autoreg-bpe-seed_333,adj,adv,1,0.001,7,0.6086956521739131,0.5384615384615384
smolm-autoreg-bpe-seed_333,adv,v,5,0.01,2,0.8478260869565217,0.9010989010989011
smolm-autoreg-bpe-seed_333,n,adv,2,0.001,61,0.7391304347826086,0.7252747252747253
smolm-autoreg-bpe-seed_333,n,adv,5,0.001,60,0.7391304347826086,0.7362637362637363
smolm-autoreg-bpe-seed_333,adj,v,2,0.01,8,0.89,0.87
smolm-autoreg-bpe-seed_333,adj,v,3,0.01,14,0.92,0.84
smolm-autoreg-bpe-seed_333,n,adv,1,0.001,61,0.7391304347826086,0.7032967032967034
smolm-autoreg-bpe-seed_666,adj,adv,5,0.001,63,0.6086956521739131,0.5274725274725275
smolm-autoreg-bpe-seed_666,n,adv,3,0.01,2,0.7391304347826086,0.7692307692307693
