model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_444,adj,adv,5,0.01,4,0.6521739130434783,0.5604395604395604
smolm-autoreg-bpe-seed_444,n,adv,3,0.01,5,0.8152173913043478,0.7362637362637363
smolm-autoreg-bpe-seed_444,adj,adv,2,0.01,19,0.6413043478260869,0.5604395604395604
smolm-autoreg-bpe-seed_444,adj,adv,4,0.001,62,0.6413043478260869,0.5604395604395604
smolm-autoreg-bpe-seed_444,adj,v,5,0.01,6,0.91,0.92
smolm-autoreg-bpe-seed_444,n,v,1,0.01,7,0.92,0.88
smolm-autoreg-bpe-seed_444,adj,adv,3,0.01,29,0.6847826086956522,0.6263736263736264
smolm-autoreg-bpe-seed_444,adv,v,2,0.01,13,0.8152173913043478,0.8681318681318682
smolm-autoreg-bpe-seed_444,n,adj,4,0.01,0,0.79,0.78
smolm-autoreg-bpe-seed_444,adv,v,3,0.01,5,0.8152173913043478,0.7692307692307693
smolm-autoreg-bpe-seed_444,n,v,3,0.01,9,0.92,0.88
smolm-autoreg-bpe-seed_444,n,adj,5,0.001,3,0.78,0.76
smolm-autoreg-bpe-seed_444,n,adv,4,0.01,7,0.8043478260869565,0.7252747252747253
smolm-autoreg-bpe-seed_444,adv,v,1,0.01,15,0.8478260869565217,0.8571428571428571
smolm-autoreg-bpe-seed_444,adj,v,1,0.01,7,0.92,0.87
smolm-autoreg-bpe-seed_444,n,v,2,0.01,9,0.91,0.88
smolm-autoreg-bpe-seed_444,n,v,5,0.01,7,0.91,0.85
smolm-autoreg-bpe-seed_444,n,adj,3,0.001,2,0.84,0.81
smolm-autoreg-bpe-seed_444,adj,v,4,0.01,8,0.91,0.92
smolm-autoreg-bpe-seed_444,adv,v,4,0.01,8,0.8478260869565217,0.8131868131868132
smolm-autoreg-bpe-seed_444,n,adj,1,0.001,4,0.79,0.77
smolm-autoreg-bpe-seed_444,n,adj,2,0.001,0,0.83,0.8
smolm-autoreg-bpe-seed_444,n,v,4,0.01,9,0.91,0.89
smolm-autoreg-bpe-seed_444,adj,adv,1,0.001,54,0.6521739130434783,0.5824175824175825
smolm-autoreg-bpe-seed_444,adv,v,5,0.01,8,0.8369565217391305,0.8461538461538461
smolm-autoreg-bpe-seed_444,n,adv,2,0.01,6,0.8152173913043478,0.7362637362637363
smolm-autoreg-bpe-seed_444,n,adv,5,0.01,5,0.8043478260869565,0.7362637362637363
smolm-autoreg-bpe-seed_444,adj,v,2,0.01,7,0.91,0.92
smolm-autoreg-bpe-seed_444,adj,v,3,0.01,7,0.93,0.9
smolm-autoreg-bpe-seed_444,n,adv,1,0.01,4,0.8478260869565217,0.7472527472527473
