model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_333,adj,adv,5,0.001,4,0.5869565217391305,0.5494505494505495
smolm-autoreg-bpe-seed_333,n,adv,3,0.01,1,0.7717391304347826,0.7582417582417582
smolm-autoreg-bpe-seed_333,adj,adv,2,0.001,7,0.5978260869565217,0.5494505494505495
smolm-autoreg-bpe-seed_333,adj,adv,4,0.01,3,0.6086956521739131,0.5054945054945055
smolm-autoreg-bpe-seed_333,adj,v,5,0.01,16,0.9,0.86
smolm-autoreg-bpe-seed_333,n,v,1,0.01,8,0.93,0.9
smolm-autoreg-bpe-seed_333,adj,adv,3,0.01,16,0.5978260869565217,0.4725274725274725
smolm-autoreg-bpe-seed_333,adv,v,2,0.01,3,0.8586956521739131,0.9010989010989011
smolm-autoreg-bpe-seed_333,n,adj,4,0.01,0,0.73,0.7
smolm-autoreg-bpe-seed_333,adv,v,3,0.01,34,0.8260869565217391,0.8681318681318682
smolm-autoreg-bpe-seed_333,n,v,3,0.01,7,0.91,0.88
smolm-autoreg-bpe-seed_333,n,adj,5,0.001,4,0.72,0.73
smolm-autoreg-bpe-seed_333,n,adv,4,0.01,3,0.7608695652173914,0.7912087912087912
smolm-autoreg-bpe-seed_333,adv,v,1,0.01,4,0.8586956521739131,0.8791208791208791
smolm-autoreg-bpe-seed_333,adj,v,1,0.01,14,0.9,0.86
smolm-autoreg-bpe-seed_333,n,v,2,0.01,7,0.93,0.86
smolm-autoreg-bpe-seed_333,n,v,5,0.01,10,0.92,0.86
smolm-autoreg-bpe-seed_333,n,adj,3,0.001,0,0.71,0.65
smolm-autoreg-bpe-seed_333,adj,v,4,0.01,14,0.91,0.85
smolm-autoreg-bpe-seed_333,adv,v,4,0.01,4,0.8478260869565217,0.8681318681318682
smolm-autoreg-bpe-seed_333,n,adj,1,0.001,0,0.73,0.76
smolm-autoreg-bpe-seed_333,n,adj,2,0.001,0,0.75,0.68
smolm-autoreg-bpe-seed_333,n,v,4,0.01,9,0.92,0.88
smolm-autoreg-bpe-seed_333,adj,adv,1,0.001,7,0.6086956521739131,0.5384615384615384
smolm-autoreg-bpe-seed_333,adv,v,5,0.01,2,0.8478260869565217,0.9010989010989011
smolm-autoreg-bpe-seed_333,n,adv,2,0.001,61,0.7391304347826086,0.7252747252747253
smolm-autoreg-bpe-seed_333,n,adv,5,0.001,60,0.7391304347826086,0.7362637362637363
smolm-autoreg-bpe-seed_333,adj,v,2,0.01,8,0.89,0.87
smolm-autoreg-bpe-seed_333,adj,v,3,0.01,14,0.92,0.84
smolm-autoreg-bpe-seed_333,n,adv,1,0.001,61,0.7391304347826086,0.7032967032967034
