dirkey,word,pc1,pc2,cat,type,state
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,wet,0.275552077397624,-0.08826133002252995,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,stuck,0.15308576042076166,0.2593449726316648,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,yummy,0.15675656476741556,-0.014364054010914534,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,beautiful,0.30644477100916506,-0.23017335003276088,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,bigger,0.27670063083496627,0.003003853390253155,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,small,0.35813053328537237,-0.28232278279531886,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,lost,0.05688530142207935,0.2642157212439353,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,pink,0.37060871502066933,-0.02167883876193285,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,fine,-0.03666132936654805,-0.07488076685532898,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,full,0.19362500857507292,0.05562787475791084,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,busy,0.24731873836378376,-0.003973422012416448,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,awful,-0.06250501442425883,0.032743229606419386,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,sick,0.16615379318365942,0.13038372251082428,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,soft,0.3893215452212995,-0.1551577377120223,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,sad,0.2651919323872723,0.06547052603789202,adjective,real,none
checkpoints/smolm-autoreg-bpe-seed_333/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,heavy,0.2901045341629324,-0.2537187411432704,adjective,real,none
