dirkey,word,cat,rep_type,start,end,projection_movement
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.32787491778393885,0.2724867735255323,0.40663733483210407
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,pca,0.10619342501828169,0.23535345057192886,-0.19393906855799337
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.47017109394073486,1.3084648847579956,0.41406381130218506
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,emb,0.3976980447769165,1.495465636253357,-0.17423346638679504
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,pca,0.41456045293784377,0.28666445747529623,0.12796556996972766
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,pca,0.09261420991857218,0.06425128547214959,-0.0324326176668889
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,emb,0.5311620831489563,0.5213634371757507,0.12730222940444946
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,emb,0.3976980447769165,0.5035855174064636,-0.026264026761054993
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,pca,0.32787491778393885,0.23821233187231466,0.27925346156688174
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,pca,0.10619342501828169,0.138789563588738,-0.04588423307797927
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,emb,0.47017109394073486,1.6368662118911743,0.30906563997268677
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,emb,0.3976980447769165,2.157935619354248,-0.06637631356716156
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_1],adjective,pca,0.32787491778393885,0.24180728345172361,0.3850765616961491
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_2],adverb,pca,0.10619342501828169,0.18094542528791507,-0.1024912003196033
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_1],adjective,emb,0.47017109394073486,1.3182578086853027,0.3907938301563263
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_2],adverb,emb,0.3976980447769165,1.4997448921203613,-0.09167464077472687
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.2713618697060836,0.14652233069585546,0.3501407308654172
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,pca,0.3786870374660534,0.06945035508701172,0.39787466340503186
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.47017109394073486,1.0788867473602295,0.33340972661972046
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,emb,0.5407777428627014,0.9342591762542725,0.3980708122253418
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_1],noun,pca,0.3009518406050608,0.0764814388138136,0.35105805751343594
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_2],verb,pca,0.29350468751880693,0.07516560977112928,0.3486402256095504
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_1],noun,emb,0.5311620831489563,1.5044223070144653,0.33260995149612427
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_2],verb,emb,0.5407777428627014,1.273642659187317,0.35452112555503845
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],adjective,pca,0.32787491778393885,0.25537441658764215,0.3743619990904743
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,pca,0.10619342501828169,0.1737406962294365,-0.10235627736075069
checkpoints/smolm-autoreg-bpe-seed_555/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],adjective,emb,0.47017109394073486,1.3095248937606812,0.3976826071739197
