dirkey,word,cat,rep_type,start,end,projection_movement
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.3201147903348162,0.26415144170173505,0.2216661231474217
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,pca,0.09833091686746817,0.21997826461542275,-0.18938406189700022
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.4674971103668213,1.1747183799743652,0.22352592647075653
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],adverb,emb,0.39336374402046204,1.242575764656067,-0.20306061208248138
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_1],noun,pca,0.41593368674138737,0.31719383144334473,0.10075798578100013
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_2],adverb,pca,0.0924398949329134,0.0825985002245361,-0.0184424313170517
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_1],noun,emb,0.5320993661880493,0.5015343427658081,0.0960252583026886
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_2],adverb,emb,0.39336374402046204,0.44603103399276733,-0.02270360291004181
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,pca,0.3201147903348162,0.23847428594021639,0.2848871894337991
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,pca,0.09833091686746817,0.25013651409955345,-0.24756804409588123
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,emb,0.4674971103668213,1.1009608507156372,0.285408079624176
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,emb,0.39336374402046204,1.2019994258880615,-0.2585109770298004
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_1],adjective,pca,0.3201147903348162,0.22243506615060354,0.26003342596457624
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_2],adverb,pca,0.09833091686746817,0.23618367041179933,-0.20440718229550528
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_1],adjective,emb,0.4674971103668213,1.0613070726394653,0.25759220123291016
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_4,[unused_2],adverb,emb,0.39336374402046204,1.1571801900863647,-0.21159090101718903
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.26083912613513205,0.12943406332172377,0.1081603418288131
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,pca,0.3738623637448402,0.2609372757785577,0.11271781367501738
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.4674971103668213,0.4941151440143585,0.10373759269714355
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,emb,0.5400847792625427,0.5034784078598022,0.10638287663459778
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_1],noun,pca,0.28615067863185695,0.09822970322689445,0.2766321431190818
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_2],verb,pca,0.2802408790320661,0.1080443009960798,0.1928552527267169
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_1],noun,emb,0.5320993661880493,0.7652626633644104,0.2687600255012512
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_2],verb,emb,0.5400847792625427,0.705029308795929,0.1958291083574295
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],adjective,pca,0.3201147903348162,0.22712641642339285,0.2799682440531025
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,pca,0.09833091686746817,0.2707201409263253,-0.24632715919338444
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],adjective,emb,0.4674971103668213,1.0601940155029297,0.28266412019729614
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,emb,0.39336374402046204,1.133716344833374,-0.2598850429058075
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adverb,pca,0.17009012294207113,0.1700304322861928,0.03356671695526506
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],verb,pca,0.3640985320936238,0.13607787438359772,0.25173856284337315
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adverb,emb,0.39336374402046204,0.9175506234169006,0.05397646129131317
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_advv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],verb,emb,0.5400847792625427,0.7775134444236755,0.24011847376823425
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjn_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_1],noun,pca,0.3671275366404583,0.1657856840383958,0.15684241334173904
checkpoints/smolm-autoreg-bpe-seed_1709/unused_pairs_1/childes_adjn_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_2],adjective,pca,0.25319118969434945,0.07127264296457589,0.13125616887446562
