model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_222,adj,adv,5,0.001,37,0.5760869565217391,0.46153846153846156
smolm-autoreg-bpe-seed_222,n,adv,3,0.01,2,0.7717391304347826,0.6373626373626373
smolm-autoreg-bpe-seed_222,adj,adv,2,0.01,28,0.5978260869565217,0.42857142857142855
smolm-autoreg-bpe-seed_222,adj,adv,4,0.001,51,0.5652173913043478,0.4725274725274725
smolm-autoreg-bpe-seed_222,adj,v,5,0.01,10,0.87,0.82
smolm-autoreg-bpe-seed_222,n,v,1,0.01,8,0.88,0.83
smolm-autoreg-bpe-seed_222,adj,adv,3,0.001,43,0.5652173913043478,0.43956043956043955
smolm-autoreg-bpe-seed_222,adv,v,2,0.001,59,0.8152173913043478,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adj,4,0.001,2,0.83,0.72
smolm-autoreg-bpe-seed_222,adv,v,3,0.001,62,0.8260869565217391,0.8571428571428571
smolm-autoreg-bpe-seed_222,n,v,3,0.01,5,0.89,0.84
smolm-autoreg-bpe-seed_222,n,adj,5,0.001,6,0.84,0.68
smolm-autoreg-bpe-seed_222,n,adv,4,0.01,0,0.8260869565217391,0.6373626373626373
smolm-autoreg-bpe-seed_222,adv,v,1,0.001,54,0.8152173913043478,0.8461538461538461
smolm-autoreg-bpe-seed_222,adj,v,1,0.01,11,0.87,0.85
smolm-autoreg-bpe-seed_222,n,v,2,0.01,6,0.91,0.85
smolm-autoreg-bpe-seed_222,n,v,5,0.01,9,0.91,0.87
smolm-autoreg-bpe-seed_222,n,adj,3,0.001,4,0.84,0.57
smolm-autoreg-bpe-seed_222,adj,v,4,0.01,12,0.9,0.83
smolm-autoreg-bpe-seed_222,adv,v,4,0.001,64,0.8152173913043478,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adj,1,0.001,10,0.84,0.73
smolm-autoreg-bpe-seed_222,n,adj,2,0.001,19,0.83,0.69
smolm-autoreg-bpe-seed_222,n,v,4,0.01,10,0.89,0.8
smolm-autoreg-bpe-seed_222,adj,adv,1,0.01,26,0.5760869565217391,0.43956043956043955
smolm-autoreg-bpe-seed_222,adv,v,5,0.001,68,0.7934782608695652,0.8351648351648352
smolm-autoreg-bpe-seed_222,n,adv,2,0.01,5,0.7608695652173914,0.6153846153846154
smolm-autoreg-bpe-seed_222,n,adv,5,0.01,36,0.7717391304347826,0.6263736263736264
smolm-autoreg-bpe-seed_222,adj,v,2,0.01,13,0.88,0.82
smolm-autoreg-bpe-seed_222,adj,v,3,0.01,8,0.89,0.83
smolm-autoreg-bpe-seed_222,n,adv,1,0.01,0,0.7717391304347826,0.6373626373626373
