dirkey,word,cat,rep_type,start,end,projection_movement
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_1],adjective,pca,0.3139681904381997,0.19738959753186572,0.10583158971116287
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_2],adverb,pca,0.08356337472357757,0.15598399063636018,-0.11438279560400293
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_1],adjective,emb,0.46676790714263916,0.5120832324028015,0.09256306290626526
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_2],adverb,emb,0.40086185932159424,0.5439884066581726,-0.10062550008296967
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,pca,0.4111678001031689,0.2869845974975473,0.12405932453027944
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,pca,0.08812539879542289,0.06262988580440745,-0.029747529945804402
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_1],noun,emb,0.5288602113723755,0.5173385739326477,0.12502744793891907
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.01_seed_3,[unused_2],adverb,emb,0.40086185932159424,0.5204319357872009,-0.030450284481048584
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,pca,0.3139681904381997,0.3166417747976607,0.1883572164728158
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,pca,0.08356337472357757,0.35175940853847976,-0.33426707286346713
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,emb,0.46676790714263916,1.6101627349853516,0.20297637581825256
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,emb,0.40086185932159424,1.7871253490447998,-0.34605634212493896
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_1],adjective,pca,0.3139681904381997,0.17042783939373396,0.13779341293055394
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_2],adverb,pca,0.08356337472357757,0.201912278517595,-0.1667008872097473
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_1],adjective,emb,0.46676790714263916,0.6640433073043823,0.11750860512256622
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_4,[unused_2],adverb,emb,0.40086185932159424,0.6416715979576111,-0.1497856229543686
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,pca,0.27394142112945424,0.07011696554153228,0.283152209258161
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,pca,0.37792749827299377,0.093454208093465,0.40630644742581146
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_1],adjective,emb,0.46676790714263916,1.1028084754943848,0.271355539560318
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_adjv_unused_token_numbers_1_2_learning_rate_0.01_seed_5,[unused_2],verb,emb,0.5336471199989319,1.0141355991363525,0.3977021276950836
checkpoints/smolm-autoreg-bpe-seed_222/unused_pairs_1/childes_nv_unused_token_numbers_1_2_learning_rate_0.01_seed_1,[unused_1],noun,pca,0.28918658243442263,0.07509422603100063,0.24699306674231977
