dirkey,word,cat,rep_type,start,end,projection_movement
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_1],adjective,pca,0.31691967407899896,0.14627123754807375,0.1682592415601038
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_2],adverb,pca,0.09466804245699913,0.20275209954360177,-0.1305708147927306
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_1],adjective,emb,0.464725136756897,0.7343488931655884,0.14902830123901367
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.001_seed_5,[unused_2],adverb,emb,0.3950114846229553,0.6752243638038635,-0.11804383248090744
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_1],noun,pca,0.4081139181255026,0.39743005716147717,0.01068367268064735
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_2],adverb,pca,0.08738087954147873,0.08612999376532161,-0.001250075982697857
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_1],noun,emb,0.5260676741600037,0.5160439610481262,0.010385513305664062
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_advn_unused_token_numbers_1_2_learning_rate_0.001_seed_3,[unused_2],adverb,emb,0.3950114846229553,0.39118874073028564,-0.001583188772201538
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,pca,0.31691967407899896,0.20274244751516732,0.2460221618434152
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_2],adverb,pca,0.09466804245699913,0.3238413171339994,-0.23689256198275283
checkpoints/smolm-autoreg-bpe-seed_111/unused_pairs_1/childes_adjadv_unused_token_numbers_1_2_learning_rate_0.01_seed_2,[unused_1],adjective,emb,0.464725136756897,1.1393967866897583,0.23995926976203918
