model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_111,adj,adv,5,0.001,59,0.6413043478260869,0.5714285714285714
smolm-autoreg-bpe-seed_111,n,adv,3,0.001,1,0.8152173913043478,0.7802197802197802
smolm-autoreg-bpe-seed_111,adj,adv,2,0.01,11,0.6413043478260869,0.6263736263736264
smolm-autoreg-bpe-seed_111,adj,adv,4,0.001,59,0.6304347826086957,0.5604395604395604
smolm-autoreg-bpe-seed_111,adj,v,5,0.01,5,0.91,0.9
smolm-autoreg-bpe-seed_111,n,v,1,0.001,22,0.91,0.84
smolm-autoreg-bpe-seed_111,adj,adv,3,0.001,58,0.6195652173913043,0.5604395604395604
smolm-autoreg-bpe-seed_111,adv,v,2,0.01,3,0.8369565217391305,0.8351648351648352
smolm-autoreg-bpe-seed_111,n,adj,4,0.001,58,0.79,0.73
smolm-autoreg-bpe-seed_111,adv,v,3,0.001,23,0.8260869565217391,0.8571428571428571
smolm-autoreg-bpe-seed_111,n,v,3,0.01,3,0.94,0.85
smolm-autoreg-bpe-seed_111,n,adj,5,0.001,60,0.81,0.74
smolm-autoreg-bpe-seed_111,n,adv,4,0.001,5,0.8152173913043478,0.8241758241758241
smolm-autoreg-bpe-seed_111,adv,v,1,0.001,22,0.8369565217391305,0.8351648351648352
smolm-autoreg-bpe-seed_111,adj,v,1,0.001,63,0.9,0.89
smolm-autoreg-bpe-seed_111,n,v,2,0.01,3,0.94,0.87
smolm-autoreg-bpe-seed_111,n,v,5,0.01,3,0.92,0.89
smolm-autoreg-bpe-seed_111,n,adj,3,0.001,62,0.79,0.73
smolm-autoreg-bpe-seed_111,adj,v,4,0.01,2,0.9,0.92
smolm-autoreg-bpe-seed_111,adv,v,4,0.001,24,0.8586956521739131,0.8571428571428571
smolm-autoreg-bpe-seed_111,n,adj,1,0.001,64,0.8,0.72
smolm-autoreg-bpe-seed_111,n,adj,2,0.001,61,0.8,0.74
smolm-autoreg-bpe-seed_111,n,v,4,0.01,3,0.92,0.92
smolm-autoreg-bpe-seed_111,adj,adv,1,0.001,57,0.6195652173913043,0.5494505494505495
smolm-autoreg-bpe-seed_111,adv,v,5,0.001,19,0.8478260869565217,0.8131868131868132
smolm-autoreg-bpe-seed_111,n,adv,2,0.001,5,0.7934782608695652,0.7802197802197802
smolm-autoreg-bpe-seed_111,n,adv,5,0.001,3,0.8260869565217391,0.7802197802197802
smolm-autoreg-bpe-seed_111,adj,v,2,0.01,3,0.94,0.84
smolm-autoreg-bpe-seed_111,adj,v,3,0.01,10,0.92,0.92
smolm-autoreg-bpe-seed_111,n,adv,1,0.001,5,0.8043478260869565,0.7472527472527473
