model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_666,adj,adv,5,0.001,63,0.6086956521739131,0.5274725274725275
smolm-autoreg-bpe-seed_666,n,adv,3,0.01,2,0.7391304347826086,0.7692307692307693
smolm-autoreg-bpe-seed_666,adj,adv,2,0.001,68,0.6195652173913043,0.5054945054945055
smolm-autoreg-bpe-seed_666,adj,adv,4,0.001,65,0.6086956521739131,0.5164835164835165
smolm-autoreg-bpe-seed_666,adj,v,5,0.01,10,0.91,0.91
smolm-autoreg-bpe-seed_666,n,v,1,0.01,6,0.94,0.89
smolm-autoreg-bpe-seed_666,adj,adv,3,0.001,68,0.6086956521739131,0.5054945054945055
smolm-autoreg-bpe-seed_666,adv,v,2,0.01,3,0.7717391304347826,0.8131868131868132
smolm-autoreg-bpe-seed_666,n,adj,4,0.001,8,0.78,0.7
smolm-autoreg-bpe-seed_666,adv,v,3,0.01,2,0.8369565217391305,0.8901098901098901
smolm-autoreg-bpe-seed_666,n,v,3,0.01,6,0.95,0.92
smolm-autoreg-bpe-seed_666,n,adj,5,0.001,5,0.74,0.67
smolm-autoreg-bpe-seed_666,n,adv,4,0.01,9,0.7391304347826086,0.7582417582417582
smolm-autoreg-bpe-seed_666,adv,v,1,0.001,10,0.782608695652174,0.8461538461538461
smolm-autoreg-bpe-seed_666,adj,v,1,0.01,16,0.93,0.9
smolm-autoreg-bpe-seed_666,n,v,2,0.01,35,0.93,0.91
smolm-autoreg-bpe-seed_666,n,v,5,0.01,4,0.95,0.87
smolm-autoreg-bpe-seed_666,n,adj,3,0.001,5,0.82,0.79
smolm-autoreg-bpe-seed_666,adj,v,4,0.01,12,0.91,0.9
smolm-autoreg-bpe-seed_666,adv,v,4,0.001,22,0.7391304347826086,0.7802197802197802
smolm-autoreg-bpe-seed_666,n,adj,1,0.001,68,0.78,0.76
smolm-autoreg-bpe-seed_666,n,adj,2,0.001,6,0.78,0.73
smolm-autoreg-bpe-seed_666,n,v,4,0.01,6,0.94,0.87
smolm-autoreg-bpe-seed_666,adj,adv,1,0.01,12,0.6086956521739131,0.5604395604395604
smolm-autoreg-bpe-seed_666,adv,v,5,0.01,40,0.7608695652173914,0.6923076923076923
smolm-autoreg-bpe-seed_666,n,adv,2,0.001,20,0.7282608695652174,0.7692307692307693
smolm-autoreg-bpe-seed_666,n,adv,5,0.01,2,0.717391304347826,0.8021978021978022
smolm-autoreg-bpe-seed_666,adj,v,2,0.01,10,0.91,0.88
smolm-autoreg-bpe-seed_666,adj,v,3,0.01,17,0.92,0.92
smolm-autoreg-bpe-seed_666,n,adv,1,0.01,1,0.782608695652174,0.8241758241758241
