model,cat1,cat2,seed,lr,epoch,dev_acc,test_acc
smolm-autoreg-bpe-seed_999,adj,adv,5,0.001,30,0.5978260869565217,0.5274725274725275
smolm-autoreg-bpe-seed_999,n,adv,3,0.001,0,0.8804347826086957,0.8131868131868132
smolm-autoreg-bpe-seed_999,adj,adv,2,0.001,28,0.5978260869565217,0.4835164835164835
smolm-autoreg-bpe-seed_999,adj,adv,4,0.01,18,0.6195652173913043,0.5164835164835165
smolm-autoreg-bpe-seed_999,adj,v,5,0.01,49,0.92,0.88
smolm-autoreg-bpe-seed_999,n,v,1,0.01,12,0.92,0.8
smolm-autoreg-bpe-seed_999,adj,adv,3,0.001,29,0.5978260869565217,0.4725274725274725
smolm-autoreg-bpe-seed_999,adv,v,2,0.001,14,0.8260869565217391,0.7472527472527473
smolm-autoreg-bpe-seed_999,n,adj,4,0.001,23,0.79,0.73
smolm-autoreg-bpe-seed_999,adv,v,3,0.01,4,0.8478260869565217,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,v,3,0.01,9,0.96,0.92
smolm-autoreg-bpe-seed_999,n,adj,5,0.001,19,0.82,0.75
smolm-autoreg-bpe-seed_999,n,adv,4,0.001,2,0.8043478260869565,0.7802197802197802
smolm-autoreg-bpe-seed_999,adv,v,1,0.01,4,0.8152173913043478,0.7472527472527473
smolm-autoreg-bpe-seed_999,adj,v,1,0.01,14,0.92,0.88
smolm-autoreg-bpe-seed_999,n,v,2,0.01,11,0.94,0.87
smolm-autoreg-bpe-seed_999,n,v,5,0.001,54,0.91,0.85
smolm-autoreg-bpe-seed_999,n,adj,3,0.001,15,0.83,0.74
smolm-autoreg-bpe-seed_999,adj,v,4,0.01,13,0.92,0.88
smolm-autoreg-bpe-seed_999,adv,v,4,0.01,4,0.8260869565217391,0.7472527472527473
smolm-autoreg-bpe-seed_999,n,adj,1,0.001,15,0.81,0.79
smolm-autoreg-bpe-seed_999,n,adj,2,0.001,3,0.83,0.77
smolm-autoreg-bpe-seed_999,n,v,4,0.01,12,0.95,0.88
smolm-autoreg-bpe-seed_999,adj,adv,1,0.01,3,0.6086956521739131,0.5384615384615384
smolm-autoreg-bpe-seed_999,adv,v,5,0.001,19,0.8152173913043478,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,adv,2,0.001,1,0.8152173913043478,0.8021978021978022
smolm-autoreg-bpe-seed_999,n,adv,5,0.001,7,0.8152173913043478,0.7582417582417582
smolm-autoreg-bpe-seed_999,adj,v,2,0.01,15,0.92,0.88
smolm-autoreg-bpe-seed_999,adj,v,3,0.01,13,0.92,0.9
smolm-autoreg-bpe-seed_999,n,adv,1,0.001,0,0.8369565217391305,0.8131868131868132
